filename,relative_path,full_path,size_bytes,size_mb,size_human,sha256,last_modified
sqef_sliced_1MB_16keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/1MB-blocks/sqef_sliced_1MB_16keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\1MB-blocks\sqef_sliced_1MB_16keys_from_MAXIMUM_master.bin,16777216,16.0,16.00 MB,FEDBA38AECFAAC6DF1E5EDEF1C5167EDDC73CC409128DBBA44DE2F0A4AD9904F,2025-08-06 17:47:42
sqef_sliced_2048bit_62500keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/2048-bit/sqef_sliced_2048bit_62500keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\2048-bit\sqef_sliced_2048bit_62500keys_from_MAXIMUM_master.bin,16000000,15.259,15.26 MB,5BA0F10C73D5149708B00F6A043223C3168A043C1607F95E326CC4D3A664F7FF,2025-08-06 17:47:42
sqef_sliced_256bit_500000keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/256-bit/sqef_sliced_256bit_500000keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\256-bit\sqef_sliced_256bit_500000keys_from_MAXIMUM_master.bin,16000000,15.259,15.26 MB,D0AE3542F04E894EAA800ABDEB55259AA84D7BE33D2BA43DC28DBDE91687C8B0,2025-08-06 17:47:41
sqef_sliced_256MB_1keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/256MB-blocks/sqef_sliced_256MB_1keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\256MB-blocks\sqef_sliced_256MB_1keys_from_MAXIMUM_master.bin,268435456,256.0,256.00 MB,B51197451AA0A06900B19633316063F3BA587043B52F1F10DE1143691E2D2745,2025-08-06 18:36:29
sqef_sliced_4096bit_31250keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/4096-bit/sqef_sliced_4096bit_31250keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\4096-bit\sqef_sliced_4096bit_31250keys_from_MAXIMUM_master.bin,16000000,15.259,15.26 MB,63C368FB4B7DD4DC5109B51E5DFD12EF99C2CF1849C35545FCED25AEE34BF6A1,2025-08-06 17:47:42
sqef_sliced_4KB_4096keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/4KB-blocks/sqef_sliced_4KB_4096keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\4KB-blocks\sqef_sliced_4KB_4096keys_from_MAXIMUM_master.bin,16777216,16.0,16.00 MB,14286F451064D5EB8835E6C219EF92BBC16451696C6F32D2A2271757EAC3BD65,2025-08-06 17:47:42
sqef_sliced_512bit_250000keys_from_MAXIMUM_master.bin,sample-outputs-MAXIMUM-32/512-bit/sqef_sliced_512bit_250000keys_from_MAXIMUM_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\512-bit\sqef_sliced_512bit_250000keys_from_MAXIMUM_master.bin,16000000,15.259,15.26 MB,61184667C4645DE5E90CC7A47DA235CEE7EE0C84F33C473883D7865383E5B2FA,2025-08-06 17:47:42
sqef_master_512mb_MAXIMUM_for_slicing.bin,sample-outputs-MAXIMUM-32/512MB-master/sqef_master_512mb_MAXIMUM_for_slicing.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-MAXIMUM-32\512MB-master\sqef_master_512mb_MAXIMUM_for_slicing.bin,536870912,512.0,512.00 MB,A2D3C7BDD630E4D181B51E77729896E50F1647FB0F3B32EDE69F04D662BA9111,2025-08-06 17:47:41
sqef_sliced_1024bit_125000keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/1024-bit/sqef_sliced_1024bit_125000keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\1024-bit\sqef_sliced_1024bit_125000keys_from_STANDARD_master.bin,16000000,15.259,15.26 MB,F2A611CA47B25CA0CACD4152EED30BDD153A771AC9B05708E9BEB242155C0318,2025-08-06 16:10:06
sqef_sliced_16KB_1024keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/16MB-blocks/sqef_sliced_16KB_1024keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\16MB-blocks\sqef_sliced_16KB_1024keys_from_STANDARD_master.bin,16777216,16.0,16.00 MB,9419E6E7607FF4103F94107EBB064AB43844464A450B81805C5F9FECF4321124,2025-08-06 16:10:06
sqef_sliced_1KB_16384keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/1KB-blocks/sqef_sliced_1KB_16384keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\1KB-blocks\sqef_sliced_1KB_16384keys_from_STANDARD_master.bin,16777216,16.0,16.00 MB,49759321DA5F2BD652C1112EEA8DBF44406D596E2D9B2E47DDC29C0B7A548047,2025-08-06 16:10:06
sqef_sliced_1MB_16keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/1MB-blocks/sqef_sliced_1MB_16keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\1MB-blocks\sqef_sliced_1MB_16keys_from_STANDARD_master.bin,16777216,16.0,16.00 MB,32E3B4D09DD5DA9D4E73BDFB3844F17AA687DB3329148EA98FD0D42BAA88E876,2025-08-06 16:10:06
sqef_sliced_2048bit_62500keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/2048-bit/sqef_sliced_2048bit_62500keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\2048-bit\sqef_sliced_2048bit_62500keys_from_STANDARD_master.bin,16000000,15.259,15.26 MB,C90C89E7DE2D2255FBE7E1E1E25C0A5B0D9A9F78B3F9B338EAB3BE19C4D73741,2025-08-06 16:10:06
sqef_sliced_256bit_500000keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/256-bit/sqef_sliced_256bit_500000keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\256-bit\sqef_sliced_256bit_500000keys_from_STANDARD_master.bin,16000000,15.259,15.26 MB,CF4D52897D8D4B642E522A1D539F241266E83E8B12D12B1923CD98D5FF72142C,2025-08-06 16:10:05
sqef_sliced_256MB_1keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/256MB-blocks/sqef_sliced_256MB_1keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\256MB-blocks\sqef_sliced_256MB_1keys_from_STANDARD_master.bin,268435456,256.0,256.00 MB,8CDF637864040B1AF1240154C760C0B257C0B4347E2AE1E35E364552372C8368,2025-08-06 16:14:35
sqef_sliced_4096bit_31250keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/4096-bit/sqef_sliced_4096bit_31250keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\4096-bit\sqef_sliced_4096bit_31250keys_from_STANDARD_master.bin,16000000,15.259,15.26 MB,6A492C81974ECE75BAB2809E99028D88FCF3EE2BA09254B23383269B065B01B1,2025-08-06 16:10:06
sqef_sliced_4KB_4096keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/4KB-blocks/sqef_sliced_4KB_4096keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\4KB-blocks\sqef_sliced_4KB_4096keys_from_STANDARD_master.bin,16777216,16.0,16.00 MB,779804AA5C5909038096F59A3868CD3962937C385E4800564A3B8917081D9637,2025-08-06 16:10:06
sqef_sliced_512bit_250000keys_from_STANDARD_master.bin,sample-outputs-STANDARD-512/512-bit/sqef_sliced_512bit_250000keys_from_STANDARD_master.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\512-bit\sqef_sliced_512bit_250000keys_from_STANDARD_master.bin,16000000,15.259,15.26 MB,C4E3CF45CD3056EFEDB842DBFB639F4ADB4CE38BE3B0E4B75524AAA0DCD74C8C,2025-08-06 16:10:06
sqef_master_512mb_STANDARD_for_slicing.bin,sample-outputs-STANDARD-512/512MB-master/sqef_master_512mb_STANDARD_for_slicing.bin,C:\GitHub\Luminareware-SQEF-NIST-Evaluation\sample-outputs\sample-outputs-STANDARD-512\512MB-master\sqef_master_512mb_STANDARD_for_slicing.bin,536870912,512.0,512.00 MB,F428C8983F7E671BE9DBA03ECFFF1CDE3FE065410530C607F722F572EBF9CB90,2025-08-06 16:10:05
